epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0295,2.10235,4.86486,3.01742,2.14739,0,0.01292,0.81579,0.06585,0.0288,0.01083,0.68421,0.0503,0.02317,1.55294,3.56945,3.04865,1.6188,0,4e-05,4e-05,4e-05
2,43.4966,1.96811,4.9206,2.91661,2.0308,0,0.0125,0.78947,0.08689,0.03843,0.01167,0.73684,0.06484,0.02393,1.53815,3.61048,3.06342,1.67715,0,9.901e-05,9.901e-05,9.901e-05
3,64.8684,1.76446,3.95209,2.8746,1.80909,0,0.01208,0.76316,0.08428,0.03299,0.01125,0.71053,0.04791,0.0197,1.51149,3.54876,3.08284,1.72881,0,0.000156832,0.000156832,0.000156832
4,85.1577,1.63713,3.58226,2.864,1.65886,0,0.01167,0.73684,0.0854,0.03648,0.01,0.63158,0.04337,0.01684,1.45196,3.61445,3.09271,1.733,0,0.000213466,0.000213466,0.000213466
5,107.259,1.67495,3.65718,2.7016,1.69053,0,0.0125,0.78947,0.08428,0.03511,0.01,0.63158,0.04934,0.01899,1.45152,3.64095,3.09961,1.73553,0,0.000268912,0.000268912,0.000268912
6,128.717,1.49177,3.16876,2.63412,1.51385,0,0.01333,0.84211,0.11109,0.05147,0.01083,0.68421,0.0726,0.02924,1.56874,4.52766,3.00653,1.69136,0,0.00032317,0.00032317,0.00032317
7,149.488,1.43196,2.97569,2.54048,1.47641,0,0.01458,0.92105,0.17451,0.09047,0.01125,0.71053,0.12331,0.05445,1.60807,4.49173,2.86789,1.60339,0,0.00037624,0.00037624,0.00037624
8,170.829,1.46601,3.13222,2.38649,1.54532,0,0.01417,0.89474,0.21116,0.09883,0.01208,0.76316,0.16112,0.07474,1.56869,4.08409,2.81925,1.57458,0,0.000428122,0.000428122,0.000428122
9,191.814,1.40952,2.95213,2.32779,1.50778,0,0.01417,0.89474,0.22028,0.11395,0.01292,0.81579,0.19057,0.09973,1.63635,3.96591,2.78063,1.58019,0,0.000478816,0.000478816,0.000478816
10,214.078,1.41858,3.01951,2.14286,1.47478,0,0.01458,0.92105,0.21686,0.10617,0.0125,0.78947,0.19294,0.08172,1.65343,4.15159,2.76688,1.54088,0,0.000528322,0.000528322,0.000528322
11,246.758,1.40707,2.83747,2.03585,1.48739,0,0.01417,0.89474,0.25214,0.10348,0.01,0.63158,0.16175,0.05254,1.7478,5.20284,2.82127,1.67315,0,0.00057664,0.00057664,0.00057664
12,265.816,1.5315,2.81841,2.05954,1.45495,0,0.015,0.94737,0.26292,0.10505,0.00958,0.60526,0.12124,0.04058,1.83032,5.3723,2.86937,1.82126,0,0.00062377,0.00062377,0.00062377
13,284.99,1.30814,3.19755,1.93189,1.36813,0,0.015,0.94737,0.22881,0.08278,0.01167,0.73684,0.15698,0.03634,1.8128,5.56259,2.88257,1.79864,0,0.000669712,0.000669712,0.000669712
14,318.521,1.48827,2.83718,1.91508,1.50352,0,0.015,0.94737,0.23449,0.1029,0.01208,0.76316,0.12755,0.02797,1.79455,6.00063,2.88642,1.81161,0,0.000714466,0.000714466,0.000714466
15,337.166,1.59784,2.98589,2.04274,1.67697,0,0.20465,0.05263,0.11337,0.03998,0.14075,0.02632,0.05073,0.01511,1.89839,5.84845,3.00365,2.0946,0,0.000758032,0.000758032,0.000758032
16,356.042,1.4181,2.99098,1.94482,1.48326,0,0.14472,0.05263,0.08349,0.03124,0.04288,0.06377,0.03117,0.00828,1.79169,6.16632,3.03913,2.0904,0,0.00080041,0.00080041,0.00080041
17,374.569,1.50605,2.79248,1.85084,1.49929,0,0.11117,0.13835,0.05765,0.02243,0.00792,0.5,0.01251,0.0022,1.90206,8.74735,3.07363,2.18937,0,0.0008416,0.0008416,0.0008416
18,393.084,1.46697,2.67038,1.80902,1.40627,0,0.10814,0.10526,0.06191,0.02805,0.00708,0.44737,0.01418,0.00288,1.85241,9.91715,3.00842,2.19727,0,0.000881602,0.000881602,0.000881602
19,411.952,1.4194,2.81203,1.79026,1.44837,0,0.15351,0.15789,0.10729,0.04033,0.13612,0.13158,0.05811,0.01148,1.91513,9.93661,2.91149,2.14726,0,0.000920416,0.000920416,0.000920416
20,430.379,1.39512,3.01439,1.73472,1.38889,0,0.21985,0.28947,0.15399,0.04093,0.12259,0.21053,0.04947,0.01422,1.93531,9.08044,2.81651,2.04508,0,0.000958042,0.000958042,0.000958042
21,448.872,1.36386,2.51761,1.56962,1.37832,0,0.15349,0.26316,0.11294,0.03625,0.07501,0.14093,0.04116,0.00975,1.87817,9.00752,2.777,1.90395,0,0.00099448,0.00099448,0.00099448
22,467.545,1.37036,2.70548,1.78184,1.4115,0,0.22721,0.28947,0.15143,0.05641,0.19227,0.13158,0.09032,0.0179,1.74289,8.5707,2.67422,1.71175,0,0.00102973,0.00102973,0.00102973
23,486.411,1.6212,2.88735,1.7154,1.59545,0,0.35462,0.31579,0.20684,0.09771,0.27751,0.21232,0.1346,0.04428,1.68617,7.66631,2.53875,1.69922,0,0.00106379,0.00106379,0.00106379
24,505.535,1.42248,2.6635,1.70063,1.41396,0,0.39681,0.23684,0.20445,0.09427,0.35133,0.21053,0.1565,0.04841,1.7046,7.02441,2.51026,1.75731,0,0.00109667,0.00109667,0.00109667
25,525.599,1.34267,2.4979,1.59648,1.36233,0,0.37797,0.23684,0.21074,0.09072,0.23595,0.26316,0.15735,0.05002,1.70705,7.47559,2.51833,1.70656,0,0.00112835,0.00112835,0.00112835
26,544.77,1.26768,2.67204,1.47577,1.36439,0,0.4538,0.23684,0.2491,0.09617,0.40338,0.21053,0.2036,0.05668,1.83645,7.71941,2.49204,1.69009,0,0.00115885,0.00115885,0.00115885
27,563.807,1.46397,2.66799,1.58503,1.45731,0,0.50911,0.23684,0.24082,0.08719,0.53275,0.21053,0.19654,0.0487,2.01596,7.80813,2.5048,1.81183,0,0.00118816,0.00118816,0.00118816
28,583.583,1.25497,2.21805,1.43556,1.29515,0,0.44791,0.26316,0.24412,0.09056,0.40276,0.23684,0.19953,0.05831,2.06562,7.90593,2.50918,1.94727,0,0.00121628,0.00121628,0.00121628
29,602.433,1.30539,2.3909,1.54282,1.30336,0,0.44791,0.26316,0.24412,0.09056,0.40276,0.23684,0.19953,0.05831,2.06562,7.90593,2.50918,1.94727,0,0.00124322,0.00124322,0.00124322
30,621.405,1.33456,2.50785,1.52921,1.35353,0,0.41628,0.31579,0.2416,0.08994,0.34619,0.26316,0.17788,0.04865,2.09034,7.06808,2.50439,2.02116,0,0.00126896,0.00126896,0.00126896
31,640.391,1.29494,2.41447,1.56126,1.29077,0,0.29252,0.34211,0.20639,0.08696,0.24545,0.28947,0.14365,0.0511,2.00387,5.7105,2.59261,2.00211,0,0.00129352,0.00129352,0.00129352
32,661.012,1.21651,2.19355,1.29856,1.23848,0,0.18882,0.23684,0.10882,0.03591,0.12443,0.21053,0.06015,0.0209,2.1039,5.82528,2.77846,2.07542,0,0.00131689,0.00131689,0.00131689
33,679.901,1.35406,2.62795,1.58331,1.3584,0,0.18882,0.23684,0.10882,0.03591,0.12443,0.21053,0.06015,0.0209,2.1039,5.82528,2.77846,2.07542,0,0.00133907,0.00133907,0.00133907
34,698.847,1.33305,2.45119,1.4382,1.31941,0,0.23901,0.18421,0.1446,0.06294,0.20336,0.15789,0.10303,0.03835,2.07251,5.75102,2.78957,2.12914,0,0.0013466,0.0013466,0.0013466
35,717.735,1.21102,2.29246,1.43557,1.24095,0,0.16944,0.18421,0.13999,0.06813,0.12537,0.28947,0.11314,0.0537,2.07686,5.18396,2.86157,2.10692,0,0.0013268,0.0013268,0.0013268
36,737.268,1.30166,2.63893,1.6463,1.31297,0,0.1293,0.23684,0.10523,0.04866,0.19704,0.18421,0.11797,0.03677,1.97041,5.50632,2.93378,2.1734,0,0.001307,0.001307,0.001307
37,756.408,1.38242,2.4312,1.53434,1.38147,0,0.1293,0.23684,0.10523,0.04866,0.19704,0.18421,0.11797,0.03677,1.97041,5.50632,2.93378,2.1734,0,0.0012872,0.0012872,0.0012872
38,776.778,1.25538,2.39304,1.31209,1.26906,0,0.28114,0.13158,0.13197,0.05728,0.13691,0.28947,0.10897,0.02443,1.98574,6.53334,2.86243,2.16357,0,0.0012674,0.0012674,0.0012674
39,795.96,1.2232,2.24366,1.30065,1.27761,0,0.14651,0.26316,0.10693,0.05286,0.1231,0.26316,0.06371,0.0187,2.10425,7.63043,2.71636,2.1615,0,0.0012476,0.0012476,0.0012476
40,816.424,1.31094,2.50147,1.50122,1.3373,0,0.21749,0.36842,0.18628,0.08159,0.16696,0.31123,0.12599,0.03697,2.00636,7.54746,2.54521,1.96458,0,0.0012278,0.0012278,0.0012278
41,839.016,1.46374,2.6765,1.56492,1.47389,0,0.21749,0.36842,0.18628,0.08159,0.16696,0.31123,0.12599,0.03697,2.00636,7.54746,2.54521,1.96458,0,0.001208,0.001208,0.001208
42,859.591,1.21915,2.18893,1.37135,1.25647,0,0.28624,0.34211,0.22537,0.10982,0.26325,0.31579,0.21694,0.05883,1.99259,6.52273,2.55253,2.05285,0,0.0011882,0.0011882,0.0011882
