epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7984,2.29305,4.80378,3.20187,2.36634,0,0.01292,0.81579,0.06302,0.02631,0.01042,0.65789,0.04991,0.0234,1.57401,3.54099,3.0561,1.61869,0,4e-05,4e-05,4e-05
2,45.6913,2.20214,4.72223,3.09239,2.23804,0,0.0125,0.78947,0.0787,0.03389,0.01083,0.68421,0.05777,0.02349,1.52744,3.67335,3.07316,1.63036,0,9.99973e-05,9.99973e-05,9.99973e-05
3,67.9873,1.96235,4.05136,2.95893,2.01932,0,0.0125,0.78947,0.07949,0.0303,0.01167,0.73684,0.04749,0.02187,1.59466,3.51524,3.09632,1.72223,0,0.000159983,0.000159983,0.000159983
4,89.4741,1.8559,3.808,2.93865,1.87816,0,0.01167,0.73684,0.06843,0.02845,0.01167,0.73684,0.04307,0.01609,1.55243,3.67548,3.13736,1.81777,0,0.000219946,0.000219946,0.000219946
5,111.794,1.87317,3.73606,2.78974,1.83731,0,0.01167,0.73684,0.11731,0.03647,0.00917,0.57895,0.07028,0.03613,1.56988,4.91111,3.11484,1.84867,0,0.000279878,0.000279878,0.000279878
6,134.333,1.74963,3.19176,2.71367,1.75027,0,0.01417,0.89474,0.1824,0.06058,0.01042,0.65789,0.12065,0.05201,1.5518,5.93075,3.06723,1.75277,0,0.000339769,0.000339769,0.000339769
7,156.85,1.65556,3.18472,2.61211,1.698,0,0.01375,0.86842,0.21663,0.09339,0.01167,0.73684,0.18867,0.07133,1.52498,5.73437,2.93459,1.64883,0,0.000399609,0.000399609,0.000399609
8,178.488,1.67267,3.33899,2.53313,1.75447,0,0.01458,0.92105,0.19065,0.09374,0.01125,0.71053,0.19948,0.07033,1.58792,5.50288,2.89053,1.68262,0,0.000459389,0.000459389,0.000459389
9,200.509,1.64525,3.0935,2.4539,1.76489,0,0.01458,0.92105,0.14338,0.06129,0.01125,0.71053,0.1567,0.0546,1.65602,4.87227,2.95424,1.77504,0,0.000519097,0.000519097,0.000519097
10,222.708,1.7181,3.15181,2.30567,1.68777,0,0.01542,0.97368,0.13286,0.05352,0.00958,0.60526,0.08465,0.02297,1.65333,5.0405,2.95064,1.75056,0,0.000578726,0.000578726,0.000578726
11,243.775,1.637,3.25991,2.29236,1.70542,0,0.03094,0.81579,0.11997,0.04233,0.1881,0.07895,0.07046,0.00949,1.63447,5.72487,2.90293,1.72429,0,0.000638265,0.000638265,0.000638265
12,264.958,1.69445,3.17999,2.19921,1.65137,0,0.18859,0.13158,0.15412,0.04968,0.00917,0.57895,0.02795,0.0052,1.71622,5.76878,2.89858,1.78988,0,0.000697704,0.000697704,0.000697704
13,286.136,1.67877,3.16177,2.03298,1.70205,0,0.01458,0.92105,0.10948,0.03918,0.00833,0.52632,0.02437,0.00423,1.8843,6.39373,2.89622,1.91585,0,0.000757034,0.000757034,0.000757034
14,307.283,1.62741,3.01817,1.92715,1.71353,0,0.015,0.94737,0.10512,0.04818,0.00792,0.5,0.01359,0.00198,1.99386,7.03989,2.83314,2.0022,0,0.000816245,0.000816245,0.000816245
15,327.865,1.88369,3.23273,2.27704,1.85535,0,0.01655,0.84211,0.10959,0.0453,0.00672,0.34211,0.0244,0.00629,2.05286,8.31792,2.93369,2.10608,0,0.000875327,0.000875327,0.000875327
16,349.514,1.89142,3.41961,2.25153,1.84542,0,0.15781,0.21705,0.16524,0.0597,0.03828,0.05263,0.0308,0.00381,2.07431,9.89673,2.89419,2.06833,0,0.000934271,0.000934271,0.000934271
17,370.725,1.78464,3.43845,2.0911,1.81529,0,0.40482,0.15789,0.14032,0.04765,0.0025,0.15789,0.00109,0.00037,2.15239,15.0302,2.8567,2.30417,0,0.000993068,0.000993068,0.000993068
18,391.387,1.77493,3.25354,2.05322,1.69745,0,0.54613,0.21053,0.22569,0.06893,0.00292,0.18421,0.00171,0.00056,2.08221,16.2362,2.82021,2.28778,0,0.00105171,0.00105171,0.00105171
