path,label,label_name,group,part,split
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539439-3.JPG,1,fine,slide_2539439,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539444-1.JPG,1,fine,slide_2539444,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539446-2.JPG,1,fine,slide_2539446,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539448-2.JPG,1,fine,slide_2539448,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539448-3.JPG,1,fine,slide_2539448,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539586-1.JPG,1,fine,slide_2539586,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539586-2.JPG,1,fine,slide_2539586,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539586-3.JPG,1,fine,slide_2539586,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2539588-2.JPG,1,fine,slide_2539588,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2544796-2 20x аншлиф.JPG,1,fine,slide_2544796,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2548044 10x 1.JPG,1,fine,slide_2548044,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2548044 10x 2.JPG,1,fine,slide_2548044,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2548045 10x 1.JPG,1,fine,slide_2548045,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2548045 20x 1.JPG,1,fine,slide_2548045,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550376-2 10x.JPG,1,fine,slide_2550376,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550379-1 10x.JPG,1,fine,slide_2550379,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550383-2 20x.JPG,1,fine,slide_2550383,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550483-2 10x.JPG,1,fine,slide_2550483,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550492- 10x.JPG,1,fine,slide_2550492,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550492-1 20x.JPG,1,fine,slide_2550492,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550494-1 20x.JPG,1,fine,slide_2550494,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550496-3 10x.JPG,1,fine,slide_2550496,ore_photos_by_grade_part1,holdout
/Users/den1shh/Documents/nornickel/miners/data/ore_photos_by_grade_part1/refractory_ores/2550500-1 10x.JPG,1,fine,slide_2550500,ore_photos_by_grade_part1,holdout
