segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
107,normal,93290,0.83295,0.5061,0.9737,2577,1211
123,normal,91216,0.81443,0.7028,0.9741,1293,1439
120,normal,34455,0.30763,0.5108,0.9733,603,1293
32,fine,33302,0.29734,0.7369,0.9692,3323,302
124,fine,14937,0.13337,0.7345,0.9694,3896,1346
94,fine,13483,0.12038,0.5241,0.9717,272,987
117,normal,10718,0.0957,0.5408,0.9682,486,1185
91,fine,10714,0.09566,0.6403,0.9598,3593,955
244,fine,8740,0.07804,0.898,0.9552,2229,2620
59,fine,8306,0.07416,0.6851,0.9567,382,665
242,fine,5919,0.05285,0.8899,0.9702,2970,2548
174,fine,5135,0.04585,0.9845,0.9244,2137,2099
27,fine,5118,0.0457,0.847,0.9636,500,215
113,fine,4613,0.04119,0.6484,0.9473,2069,1129
3,fine,4204,0.03754,0.904,0.9646,1954,40
193,fine,4136,0.03693,0.9888,0.949,1742,2237
93,fine,4064,0.03629,0.7845,0.9511,2973,923
71,fine,4034,0.03602,0.7901,0.9624,3627,793
80,fine,3648,0.03257,0.6346,0.9491,1325,858
60,fine,3582,0.03198,0.7946,0.9364,2559,623
87,fine,3368,0.03007,0.6229,0.9456,198,912
104,fine,3363,0.03003,0.5948,0.9586,963,1048
42,fine,3274,0.02923,0.7957,0.9595,540,387
266,fine,3160,0.02821,0.6941,0.949,2588,2731
176,fine,2775,0.02478,0.7286,0.9546,780,2072
203,fine,2555,0.02281,0.9838,0.9337,1935,2330
46,fine,2488,0.02221,0.7258,0.9489,3215,440
160,fine,2207,0.01971,0.9822,0.9484,2069,1957
234,fine,2168,0.01936,0.9848,0.8921,1878,2477
236,fine,2161,0.01929,0.9002,0.9527,3236,2486
118,fine,2047,0.01828,0.6388,0.9338,3624,1161
23,fine,2026,0.01809,0.7321,0.9419,1052,152
115,normal,2000,0.01786,0.6101,0.9543,1204,1150
56,fine,1948,0.01739,0.8308,0.9606,3703,578
206,fine,1871,0.01671,0.8282,0.9438,3222,2333
110,fine,1862,0.01662,0.55,0.9452,1031,1088
44,fine,1841,0.01644,0.7601,0.9523,308,420
218,fine,1840,0.01643,0.9745,0.9302,2076,2375
18,fine,1834,0.01638,0.7902,0.9759,3410,144
47,fine,1825,0.01629,0.7698,0.9426,460,439
211,fine,1817,0.01622,0.9777,0.9623,1592,2364
83,fine,1796,0.01604,0.6161,0.9288,1827,875
65,fine,1774,0.01584,0.6649,0.9419,590,679
173,fine,1763,0.01574,0.7014,0.9396,192,2041
228,fine,1736,0.0155,0.7935,0.939,3564,2446
51,fine,1716,0.01532,0.7327,0.9487,501,521
254,fine,1715,0.01531,0.8851,0.9753,3211,2629
77,fine,1695,0.01513,0.6777,0.9372,2754,801
16,fine,1632,0.01457,0.8365,0.9521,2511,120
111,normal,1624,0.0145,0.6424,0.9275,1348,1096
166,fine,1608,0.01436,0.9814,0.9066,2009,2001
137,fine,1464,0.01307,0.9332,0.9617,2085,1608
239,fine,1441,0.01287,0.7746,0.9386,2703,2508
216,fine,1222,0.01091,0.9785,0.9297,2023,2361
36,fine,1170,0.01045,0.8191,0.9223,399,301
197,fine,1161,0.01037,0.9793,0.9305,2227,2254
270,fine,1139,0.01017,0.9225,0.9248,576,2773
241,fine,1134,0.01012,0.98,0.9464,1922,2525
74,fine,1131,0.0101,0.6941,0.9438,224,767
267,fine,1051,0.00938,0.923,0.9375,148,2720
142,fine,1040,0.00929,0.957,0.9027,1943,1711
97,fine,1034,0.00923,0.6131,0.9124,138,960
237,fine,1010,0.00902,0.98,0.918,1941,2488
164,fine,1008,0.009,0.9772,0.9241,1969,1959
62,fine,991,0.00885,0.7423,0.94,2875,610
261,fine,987,0.00881,0.9857,0.9431,1766,2674
96,fine,964,0.00861,0.6324,0.9369,2072,951
95,fine,919,0.00821,0.711,0.927,3672,918
214,fine,918,0.0082,0.9871,0.9364,1700,2368
106,fine,909,0.00812,0.634,0.9093,2152,1051
262,fine,905,0.00808,0.9194,0.9361,260,2677
122,normal,903,0.00806,0.5277,0.9063,386,1241
69,fine,903,0.00806,0.7193,0.9289,839,739
232,fine,844,0.00754,0.9689,0.9377,2081,2450
21,fine,831,0.00742,0.7943,0.9017,3105,136
6,fine,828,0.00739,0.7429,0.9052,1018,28
264,fine,772,0.00689,0.9051,0.9005,2174,2699
240,fine,770,0.00688,0.9745,0.9312,1999,2517
31,fine,739,0.0066,0.8637,0.9596,1887,196
11,fine,739,0.0066,0.758,0.9228,1516,88
250,fine,720,0.00643,0.8871,0.9349,269,2603
272,fine,718,0.00641,0.9228,0.9366,346,2786
194,fine,706,0.0063,0.9824,0.9236,1669,2201
19,fine,704,0.00629,0.8194,0.917,59,128
177,fine,695,0.00621,0.9351,0.9207,1544,2071
247,fine,691,0.00617,0.7674,0.9453,2695,2573
84,fine,690,0.00616,0.5825,0.9161,2306,867
156,fine,681,0.00608,0.9789,0.8666,2223,1902
13,fine,660,0.00589,0.7556,0.9038,789,93
220,fine,646,0.00577,0.9917,0.9144,1753,2373
43,fine,642,0.00573,0.8236,0.9155,2274,389
4,fine,639,0.00571,0.7398,0.9121,934,22
134,fine,630,0.00562,0.6967,0.9034,3597,1473
33,fine,628,0.00561,0.717,0.9094,1396,226
229,fine,621,0.00554,0.9744,0.8748,2039,2428
2,fine,613,0.00547,0.8892,0.9318,1826,12
159,fine,609,0.00544,0.9737,0.9221,1953,1918
14,fine,579,0.00517,0.7855,0.9216,3039,104
66,fine,568,0.00507,0.7696,0.9243,2946,695
127,fine,556,0.00496,0.8132,0.8886,1899,1429
29,fine,555,0.00496,0.7193,0.9307,1337,185
169,fine,536,0.00479,0.982,0.9392,2036,1998
39,fine,525,0.00469,0.8225,0.9118,587,323
273,fine,514,0.00459,0.8953,0.9541,2201,2792
249,fine,511,0.00456,0.9769,0.9056,1941,2575
126,fine,508,0.00454,0.688,0.9117,3839,1413
201,fine,492,0.00439,0.9907,0.8366,1780,2279
190,fine,477,0.00426,0.985,0.9209,2155,2179
170,fine,470,0.0042,0.7044,0.8993,894,2006
252,fine,464,0.00414,0.7995,0.9009,2769,2610
144,fine,463,0.00413,0.9664,0.8537,1948,1751
251,fine,461,0.00412,0.8847,0.9201,230,2604
61,fine,458,0.00409,0.7826,0.902,2435,608
129,fine,457,0.00408,0.6733,0.8924,3243,1443
199,fine,456,0.00407,0.9408,0.9126,2307,2275
136,fine,446,0.00398,0.9244,0.9049,1940,1558
30,fine,442,0.00395,0.7689,0.9036,2813,190
55,fine,437,0.0039,0.7112,0.9274,478,571
233,fine,435,0.00388,0.9812,0.8635,1941,2452
49,fine,432,0.00386,0.8269,0.891,2606,496
26,fine,420,0.00375,0.7317,0.9106,1102,148
209,fine,410,0.00366,0.9806,0.8823,1621,2341
105,fine,399,0.00356,0.5688,0.9152,8,1030
58,fine,395,0.00353,0.7038,0.8829,221,582
256,fine,393,0.00351,0.8822,0.9431,3031,2637
72,fine,391,0.00349,0.6815,0.9014,1028,747
37,fine,378,0.00338,0.8221,0.8881,447,299
12,fine,372,0.00332,0.7384,0.8772,896,85
184,fine,371,0.00331,0.9855,0.9116,2214,2150
100,fine,367,0.00328,0.5659,0.9146,1138,989
119,fine,367,0.00328,0.6418,0.927,2894,1168
63,fine,358,0.0032,0.671,0.9008,876,627
243,fine,355,0.00317,0.9632,0.9004,2066,2517
133,fine,355,0.00317,0.8662,0.8972,1930,1468
78,fine,354,0.00316,0.7099,0.8964,1103,793
153,fine,352,0.00314,0.9762,0.8786,1970,1861
28,fine,339,0.00303,0.8552,0.8946,474,181
22,fine,338,0.00302,0.8577,0.8605,314,133
10,fine,335,0.00299,0.8707,0.9072,355,78
41,fine,335,0.00299,0.8397,0.8809,2300,356
152,fine,335,0.00299,0.9692,0.8366,1944,1845
140,fine,324,0.00289,0.9561,0.8953,2064,1665
116,fine,321,0.00287,0.7446,0.9405,3240,1141
52,fine,321,0.00287,0.723,0.8858,2920,520
143,fine,321,0.00287,0.9743,0.8572,1982,1723
172,fine,320,0.00286,0.9829,0.9118,2072,2007
181,fine,318,0.00284,0.9453,0.9328,2402,2117
89,fine,316,0.00282,0.6778,0.8787,61,891
189,fine,313,0.00279,0.97,0.9264,1596,2172
171,fine,313,0.00279,0.9818,0.9096,2301,2004
180,fine,309,0.00276,0.9824,0.9324,2010,2067
15,fine,298,0.00266,0.8635,0.88,2315,99
20,fine,293,0.00262,0.875,0.9434,2192,123
213,fine,292,0.00261,0.9773,0.9179,2060,2344
34,fine,290,0.00259,0.7702,0.8485,2841,216
161,fine,288,0.00257,0.9824,0.8699,2216,1941
158,fine,285,0.00254,0.9802,0.9084,2183,1911
245,fine,277,0.00247,0.9892,0.8518,1779,2556
24,fine,276,0.00246,0.8139,0.8909,25,138
205,fine,275,0.00246,0.9912,0.8527,1778,2308
86,fine,275,0.00246,0.642,0.851,2748,875
1,fine,275,0.00246,0.8731,0.9018,481,7
200,fine,270,0.00241,0.9803,0.9122,1597,2275
109,normal,262,0.00234,0.5047,0.8949,1152,1057
8,fine,261,0.00233,0.7429,0.8971,1381,47
48,fine,260,0.00232,0.644,0.892,1348,423
274,fine,259,0.00231,0.8578,0.9083,2257,2796
146,fine,259,0.00231,0.9661,0.7879,1943,1775
102,fine,255,0.00228,0.5949,0.8951,108,997
183,fine,255,0.00228,0.9479,0.8333,2376,2133
257,fine,253,0.00226,0.9806,0.9207,1718,2637
231,fine,252,0.00225,0.9777,0.8743,1995,2440
154,fine,251,0.00224,0.9783,0.9134,2144,1865
132,normal,251,0.00224,0.6781,0.8647,1067,1467
98,fine,251,0.00224,0.6286,0.886,1073,955
45,fine,245,0.00219,0.6753,0.8654,1438,398
25,fine,244,0.00218,0.7345,0.8001,1372,144
165,fine,244,0.00218,0.981,0.8064,2260,1959
9,fine,243,0.00217,0.7642,0.8842,774,64
73,fine,242,0.00216,0.611,0.8345,1461,748
35,fine,241,0.00215,0.751,0.8703,3,248
130,fine,240,0.00214,0.5875,0.9315,2990,1453
92,fine,235,0.0021,0.6981,0.8803,856,895
112,fine,234,0.00209,0.6114,0.8587,2812,1082
223,fine,231,0.00206,0.9836,0.8986,1663,2389
260,fine,227,0.00203,0.9117,0.8508,220,2660
151,fine,226,0.00202,0.9769,0.8351,1974,1843
79,fine,218,0.00195,0.7262,0.8684,968,801
90,fine,216,0.00193,0.7405,0.8571,3669,888
248,fine,213,0.0019,0.9872,0.9086,1802,2567
192,fine,210,0.00188,0.9767,0.7964,1631,2188
227,fine,208,0.00186,0.9859,0.9084,1689,2405
114,normal,204,0.00182,0.5253,0.8517,2414,1103
155,fine,204,0.00182,0.9782,0.7631,2192,1884
246,fine,204,0.00182,0.983,0.8589,1869,2549
108,fine,203,0.00181,0.6389,0.8386,2119,1057
212,fine,201,0.00179,0.9917,0.8596,1756,2343
191,fine,198,0.00177,0.9853,0.9061,2199,2179
57,fine,198,0.00177,0.8375,0.9253,2727,570
178,fine,193,0.00172,0.971,0.7864,2337,2056
221,fine,192,0.00171,0.9807,0.8652,1980,2367
