segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
725,fine,134722,0.10651,0.7265,0.9771,1295,2011
2967,fine,106493,0.08419,0.5726,0.9788,11558,8210
2682,normal,103263,0.08164,0.5401,0.9782,888,7673
1191,fine,82662,0.06535,0.8325,0.9672,11568,3196
3138,fine,45342,0.03585,0.688,0.9689,143,8513
1740,fine,43707,0.03455,0.8119,0.9669,12823,4672
877,fine,40603,0.0321,0.796,0.9701,6171,2376
2224,fine,38474,0.03042,0.7232,0.9651,3370,6362
2718,fine,38220,0.03022,0.7651,0.9655,11099,7597
2978,fine,38147,0.03016,0.8491,0.9672,12928,8168
1952,fine,32464,0.02567,0.8715,0.9497,12570,5458
3023,fine,29881,0.02362,0.7005,0.9773,1865,8280
3110,fine,29135,0.02303,0.8246,0.9644,984,8455
1913,fine,27531,0.02177,0.7371,0.9754,11112,5208
2228,fine,26415,0.02088,0.769,0.9686,4116,6365
1647,fine,24800,0.01961,0.7608,0.9744,7919,4357
1417,fine,24183,0.01912,0.8519,0.9704,677,3709
3551,fine,22625,0.01789,0.9122,0.9563,4357,9422
1235,fine,22153,0.01751,0.9368,0.953,10071,3245
2386,fine,21376,0.0169,0.7873,0.9658,12977,6704
3156,fine,21041,0.01663,0.7622,0.9621,10999,8526
2181,fine,19439,0.01537,0.9104,0.9635,13199,6168
3392,fine,19313,0.01527,0.7357,0.9674,1439,9040
2497,fine,18694,0.01478,0.9419,0.9636,12362,7050
3537,fine,17246,0.01363,0.8814,0.9612,4142,9406
252,fine,16577,0.01311,0.9129,0.9627,922,647
1153,fine,16567,0.0131,0.84,0.9563,2037,3019
3534,fine,16559,0.01309,0.8919,0.9643,3969,9348
1893,fine,16195,0.0128,0.9236,0.9603,2791,5157
1058,fine,15405,0.01218,0.8287,0.9679,11468,2840
1045,fine,14728,0.01164,0.9057,0.9641,13178,2753
2184,fine,14245,0.01126,0.7604,0.9668,3768,6126
640,fine,14080,0.01113,0.919,0.9598,9354,1720
1208,fine,13973,0.01105,0.9016,0.9763,9781,3133
1065,fine,13517,0.01069,0.9514,0.9661,9886,2893
1353,fine,13471,0.01065,0.7367,0.9551,6397,3561
1291,fine,11849,0.00937,0.7633,0.954,9622,3351
3599,fine,11398,0.00901,0.9056,0.9632,667,9419
552,fine,11375,0.00899,0.8063,0.9655,12450,1424
1877,fine,11268,0.00891,0.9067,0.9526,2339,4980
2202,fine,11191,0.00885,0.9203,0.9643,178,6214
2596,fine,10742,0.00849,0.911,0.9592,4628,7267
955,fine,10551,0.00834,0.9337,0.9622,11003,2497
561,fine,10538,0.00833,0.8572,0.9611,11891,1458
1005,fine,9862,0.0078,0.9073,0.9502,12358,2706
1608,fine,9836,0.00778,0.8979,0.958,12739,4185
1920,fine,9476,0.00749,0.9533,0.9582,2603,5185
1872,fine,9431,0.00746,0.853,0.9662,11473,4947
2972,fine,8801,0.00696,0.8168,0.9482,6448,8147
1894,fine,8663,0.00685,0.9568,0.9702,2627,5074
1476,fine,8195,0.00648,0.8856,0.9597,8189,3823
2834,fine,7654,0.00605,0.9298,0.9564,2430,7810
804,fine,7647,0.00605,0.8731,0.9579,3366,2056
691,fine,7518,0.00594,0.9328,0.9651,9463,1795
2221,fine,7375,0.00583,0.8789,0.9648,271,6272
2390,fine,7142,0.00565,0.9439,0.9644,3750,6673
1656,fine,7007,0.00554,0.9079,0.9545,2935,4315
753,fine,6761,0.00535,0.8601,0.944,6707,1890
368,fine,6753,0.00534,0.9492,0.9618,10416,912
358,fine,6661,0.00527,0.8164,0.9339,2458,859
162,fine,6621,0.00523,0.9712,0.9452,2532,401
77,fine,6529,0.00516,0.9702,0.9587,2487,212
958,fine,6316,0.00499,0.8665,0.9614,5938,2479
1014,fine,6056,0.00479,0.922,0.9685,13303,2691
3075,fine,5850,0.00462,0.8355,0.9558,1048,8315
859,fine,5822,0.0046,0.9167,0.925,4567,2256
374,fine,5741,0.00454,0.8334,0.952,3604,914
2319,fine,5736,0.00453,0.7419,0.9631,4139,6515
2856,fine,5643,0.00446,0.932,0.9619,2302,7828
796,fine,5541,0.00438,0.8302,0.937,3979,2031
3449,fine,5398,0.00427,0.8867,0.941,8947,9121
737,fine,5277,0.00417,0.8653,0.9436,4958,1851
2064,fine,5187,0.0041,0.7949,0.9493,13036,5665
1692,fine,5053,0.00399,0.9524,0.9574,11761,4410
2216,fine,4651,0.00368,0.8834,0.9517,12435,6228
2910,fine,4620,0.00365,0.6309,0.9618,863,7941
2288,fine,4592,0.00363,0.9744,0.9733,11073,6473
1631,fine,4563,0.00361,0.7976,0.9481,7764,4219
2077,fine,4553,0.0036,0.9448,0.9457,11712,5739
2084,fine,4489,0.00355,0.9208,0.958,4321,5744
3508,fine,4451,0.00352,0.9099,0.9516,3984,9265
3055,fine,4322,0.00342,0.9515,0.9629,8555,8269
98,fine,4219,0.00334,0.8825,0.9548,1380,240
213,fine,4202,0.00332,0.96,0.95,2586,524
1745,fine,4139,0.00327,0.9061,0.9559,10800,4543
250,fine,4070,0.00322,0.9356,0.9658,2584,613
1760,fine,3881,0.00307,0.9027,0.9508,12437,4611
2960,fine,3869,0.00306,0.8648,0.941,1328,8043
3147,fine,3837,0.00303,0.8281,0.9527,1250,8432
275,fine,3832,0.00303,0.9354,0.9598,8204,662
346,fine,3784,0.00299,0.8397,0.9318,6465,819
2839,fine,3744,0.00296,0.9363,0.9634,5413,7800
2773,fine,3718,0.00294,0.9673,0.9443,5351,7680
1733,fine,3708,0.00293,0.9345,0.9489,4561,4512
1739,fine,3681,0.00291,0.8996,0.9463,10313,4527
462,fine,3669,0.0029,0.8889,0.9293,6113,1184
2996,fine,3651,0.00289,0.8129,0.9331,9681,8124
1012,fine,3636,0.00287,0.7814,0.9488,1717,2664
491,fine,3625,0.00287,0.8735,0.9563,12891,1275
2543,fine,3617,0.00286,0.9373,0.923,1082,7122
2669,fine,3566,0.00282,0.7755,0.9418,11289,7414
530,fine,3487,0.00276,0.9295,0.9538,8224,1359
228,fine,3336,0.00264,0.9521,0.9574,2652,563
2708,fine,3233,0.00256,0.9333,0.9602,220,7520
1815,fine,3067,0.00242,0.9391,0.9458,2094,4741
296,fine,3024,0.00239,0.9339,0.938,605,685
2217,fine,2950,0.00233,0.9226,0.9368,7508,6217
1571,fine,2864,0.00226,0.8979,0.8861,3307,4062
1536,fine,2826,0.00223,0.8989,0.8895,3190,3992
2726,fine,2809,0.00222,0.9417,0.9399,3839,7564
2532,fine,2805,0.00222,0.9575,0.9305,11088,7095
2816,fine,2797,0.00221,0.9644,0.9564,5150,7781
362,fine,2787,0.0022,0.8957,0.9478,3006,856
1031,fine,2772,0.00219,0.9202,0.9221,5200,2708
1718,fine,2761,0.00218,0.9334,0.9407,11826,4496
2066,fine,2727,0.00216,0.9411,0.9097,1175,5660
1289,fine,2693,0.00213,0.8936,0.9166,1324,3310
2591,fine,2624,0.00207,0.905,0.9495,2458,7248
3575,fine,2616,0.00207,0.8389,0.9322,10127,9374
2523,fine,2613,0.00207,0.9138,0.9338,1163,7057
1300,fine,2608,0.00206,0.8959,0.9494,599,3351
2424,fine,2587,0.00205,0.8116,0.9253,4956,6732
3362,fine,2582,0.00204,0.9088,0.9304,11174,8947
2779,fine,2559,0.00202,0.9345,0.9342,12245,7693
52,fine,2537,0.00201,0.9744,0.9449,13107,139
1564,fine,2504,0.00198,0.9537,0.961,4969,4030
3240,fine,2501,0.00198,0.979,0.9686,8204,8619
1247,fine,2487,0.00197,0.8319,0.9393,11743,3194
2634,fine,2474,0.00196,0.8894,0.9204,2492,7347
127,fine,2471,0.00195,0.9101,0.948,1084,295
111,fine,2471,0.00195,0.9705,0.9602,2566,261
2380,fine,2462,0.00195,0.8081,0.9439,558,6622
3165,fine,2440,0.00193,0.9216,0.9504,10686,8457
2329,fine,2438,0.00193,0.9553,0.9697,8836,6526
3644,fine,2361,0.00187,0.8277,0.9387,6524,9471
390,fine,2360,0.00187,0.892,0.9335,2799,991
1163,fine,2347,0.00186,0.9423,0.9527,9781,3003
2186,fine,2338,0.00185,0.8735,0.9488,285,6117
1705,fine,2331,0.00184,0.9552,0.9655,78,4432
2586,fine,2322,0.00184,0.9405,0.9341,12160,7223
1143,fine,2310,0.00183,0.932,0.9364,13285,2956
1591,fine,2308,0.00182,0.9211,0.9518,1975,4109
2825,fine,2281,0.0018,0.9418,0.9516,4127,7777
978,fine,2271,0.0018,0.7623,0.9308,3544,2535
1931,fine,2265,0.00179,0.9528,0.9469,11908,5180
2481,fine,2259,0.00179,0.9157,0.9359,12400,6909
2812,fine,2256,0.00178,0.9314,0.9565,64,7766
1452,fine,2249,0.00178,0.9081,0.9518,6880,3751
1500,fine,2246,0.00178,0.9393,0.9223,1750,3893
1526,fine,2243,0.00177,0.9325,0.9325,10238,3949
1128,fine,2235,0.00177,0.9561,0.9561,7909,2912
2703,fine,2222,0.00176,0.9147,0.9398,6606,7485
3114,fine,2199,0.00174,0.9244,0.9397,3918,8354
2602,fine,2184,0.00173,0.8193,0.9371,11285,7256
1515,fine,2183,0.00173,0.9572,0.9436,1338,3954
170,fine,2158,0.00171,0.9503,0.9532,5077,401
112,fine,2147,0.0017,0.8666,0.9578,6120,264
3188,fine,2145,0.0017,0.9802,0.92,8383,8521
967,fine,2137,0.00169,0.9156,0.9502,9884,2499
3607,fine,2123,0.00168,0.9673,0.9513,13240,9424
